,occurences_epa,articles_epa,frac_of_articles_epa,occurences_nepa,articles_nepa,frac_of_articles_nepa,_merge,enrich_in_epa
citizen,144,113,0.015014616,265,226,0.00452,both,3.321817699
artifact,21,21,0.002790327,56,42,0.00084,both,3.321817699
diari,32,21,0.002790327,63,42,0.00084,both,3.321817699
tea,46,25,0.003321818,97,50,0.001,both,3.321817699
observ,214,158,0.020993888,401,316,0.00632,both,3.321817699
commit,110,94,0.012490035,203,188,0.00376,both,3.321817699
recognis,98,83,0.011028435,176,166,0.00332,both,3.321817699
centuri,1335,777,0.103242094,2109,1556,0.03112,both,3.31754801
model,467,318,0.042253521,1050,637,0.01274,both,3.316602914
other,374,327,0.043449375,718,656,0.01312,both,3.311690206
deal,199,163,0.021658251,366,327,0.00654,both,3.311659235
screen,139,110,0.014615998,280,221,0.00442,both,3.306786849
alli,175,106,0.014084507,270,213,0.00426,both,3.30622231
philosophi,154,100,0.013287271,308,201,0.00402,both,3.305291242
fight,229,174,0.023119851,436,350,0.007,both,3.302835883
less,251,226,0.030029232,495,455,0.0091,both,3.299915604
avoid,74,70,0.00930109,161,141,0.00282,both,3.298258708
box,178,138,0.018336434,390,278,0.00556,both,3.29791973
slave,99,50,0.006643635,167,101,0.00202,both,3.288928414
territori,438,272,0.036141377,725,550,0.011,both,3.285579687
ever,231,206,0.027371778,493,417,0.00834,both,3.28198775
creativ,88,78,0.010364071,193,158,0.00316,both,3.279769373
sultan,60,37,0.00491629,128,75,0.0015,both,3.277526796
dead,143,107,0.01421738,272,217,0.00434,both,3.275893952
shift,69,66,0.008769599,152,134,0.00268,both,3.27223833
fail,176,161,0.021392506,362,327,0.00654,both,3.271025379
involv,493,436,0.057932501,986,887,0.01774,both,3.265642653
jennif,31,29,0.003853309,64,59,0.00118,both,3.265515704
latter,159,145,0.019266543,310,295,0.0059,both,3.265515704
danni,36,28,0.003720436,66,57,0.00114,both,3.263540195
discoveri,104,82,0.010895562,210,167,0.00334,both,3.262144327
debut,939,573,0.076136062,1383,1168,0.02336,both,3.259249215
robot,63,26,0.00345469,114,53,0.00106,both,3.259141893
therebi,26,26,0.00345469,55,53,0.00106,both,3.259141893
divin,62,49,0.006510763,134,100,0.002,both,3.255381345
exercis,61,49,0.006510763,114,100,0.002,both,3.255381345
initi,466,392,0.052086102,915,800,0.016,both,3.255381345
occur,423,295,0.039197449,728,603,0.01206,both,3.250203055
spoken,86,68,0.009035344,186,139,0.00278,both,3.250123791
ideal,46,45,0.005979272,113,92,0.00184,both,3.24960427
problem,192,157,0.020861015,397,321,0.00642,both,3.249379306
websit,238,157,0.020861015,395,321,0.00642,both,3.249379306
arabian,30,22,0.0029232,62,45,0.0009,both,3.247999528
pyramid,95,22,0.0029232,67,45,0.0009,both,3.247999528
wit,43,43,0.005713526,93,88,0.00176,both,3.246321842
europ,592,401,0.053281956,964,821,0.01642,both,3.244942502
drew,48,42,0.005580654,99,86,0.00172,both,3.244566124
infant,25,21,0.002790327,57,43,0.00086,both,3.244566124
super,280,125,0.016609088,367,256,0.00512,both,3.243962596
thousand,138,122,0.01621047,280,250,0.005,both,3.242094074
nearli,171,161,0.021392506,341,330,0.0066,both,3.241288785
fiber,31,20,0.002657454,67,41,0.00082,both,3.240797755
rap,71,37,0.00491629,94,76,0.00152,both,3.234401443
weigh,46,37,0.00491629,78,76,0.00152,both,3.234401443
miracl,24,18,0.002391709,57,37,0.00074,both,3.232038842
seri,2289,1096,0.145628488,3717,2254,0.04508,both,3.230445606
linguist,71,53,0.007042254,172,109,0.00218,both,3.230391523
tax,119,69,0.009168217,269,142,0.00284,both,3.228245369
though,382,341,0.045309593,760,702,0.01404,both,3.227179018
quantiti,39,34,0.004517672,82,70,0.0014,both,3.226908622
egg,87,51,0.006776508,140,105,0.0021,both,3.226908622
pie,32,17,0.002258836,70,35,0.0007,both,3.226908622
audienc,103,94,0.012490035,237,194,0.00388,both,3.219081069
otherwis,75,75,0.009965453,161,155,0.0031,both,3.214662289
concurr,31,30,0.003986181,67,62,0.00124,both,3.214662289
show,1282,698,0.09274515,2323,1443,0.02886,both,3.213622666
highest,323,267,0.035477013,615,552,0.01104,both,3.213497556
abroad,47,44,0.005846399,95,91,0.00182,both,3.212307225
acceler,32,29,0.003853309,82,60,0.0012,both,3.211090442
challeng,169,145,0.019266543,379,300,0.006,both,3.211090442
histori,895,687,0.09128355,1869,1422,0.02844,both,3.209688831
imprison,72,57,0.007573744,134,118,0.00236,both,3.209213709
lead,849,686,0.091150678,1642,1421,0.02842,both,3.207272261
dawn,31,28,0.003720436,65,58,0.00116,both,3.207272261
magnet,72,28,0.003720436,90,58,0.00116,both,3.207272261
surrend,65,40,0.005314908,103,83,0.00166,both,3.201751999
effort,192,172,0.022854106,396,357,0.00714,both,3.200855149
largest,678,449,0.059659846,1103,932,0.01864,both,3.200635508
soundtrack,106,79,0.010496944,201,164,0.00328,both,3.200287783
bush,113,52,0.006909381,149,108,0.00216,both,3.198787414
harvey,29,25,0.003321818,77,52,0.00104,both,3.194055479
fifth,242,220,0.029231996,496,458,0.00916,both,3.191265911
upon,291,268,0.035609886,603,558,0.01116,both,3.190849976
principl,88,73,0.009699708,196,152,0.00304,both,3.190693316
suggest,168,146,0.019399415,333,304,0.00608,both,3.190693316
chip,35,24,0.003188945,92,50,0.001,both,3.188944991
signatur,37,36,0.004783417,82,75,0.0015,both,3.188944991
maintain,211,191,0.025378687,423,398,0.00796,both,3.188277289
wake,36,35,0.004650545,87,73,0.00146,both,3.185304643
filmmak,64,57,0.007573744,139,119,0.00238,both,3.182245526
tone,36,34,0.004517672,101,71,0.00142,both,3.181459204
kept,58,56,0.007440872,124,117,0.00234,both,3.179859677
foreign,234,178,0.023651342,473,372,0.00744,both,3.178943819
metabol,30,22,0.0029232,72,46,0.00092,both,3.177390842
pakistan,319,121,0.016077598,398,253,0.00506,both,3.177390842
jet,75,43,0.005713526,127,90,0.0018,both,3.174181356
actress,458,277,0.03680574,713,580,0.0116,both,3.172908629
much,412,381,0.050624502,863,798,0.01596,both,3.171961261
paid,65,63,0.008370981,153,132,0.00264,both,3.170825985
accumul,22,21,0.002790327,61,44,0.00088,both,3.170825985
tend,60,52,0.006909381,120,109,0.00218,both,3.16944074
ninth,87,82,0.010895562,176,172,0.00344,both,3.16731455
systemat,50,41,0.005447781,94,86,0.00172,both,3.16731455
safe,59,51,0.006776508,126,107,0.00214,both,3.166592573
holiday,78,50,0.006643635,144,105,0.0021,both,3.163635903
reportedli,30,30,0.003986181,66,63,0.00126,both,3.163635903
hip,143,80,0.010629817,204,168,0.00336,both,3.163635903
lightn,22,20,0.002657454,67,42,0.00084,both,3.163635903
solo,214,149,0.019798033,383,313,0.00626,both,3.162625157
question,126,109,0.014483125,286,229,0.00458,both,3.162254403
mobil,159,99,0.013154398,289,208,0.00416,both,3.162114925
anyon,29,29,0.003853309,64,61,0.00122,both,3.158449615
referendum,56,29,0.003853309,85,61,0.00122,both,3.158449615
unesco,29,29,0.003853309,69,61,0.00122,both,3.158449615
almost,222,211,0.028036141,466,444,0.00888,both,3.157223128
anthem,23,19,0.002524581,59,40,0.0008,both,3.155726814
month,337,285,0.037868722,673,600,0.012,both,3.155726814
ecolog,49,28,0.003720436,84,59,0.00118,both,3.152911714
eventu,251,230,0.030560723,523,485,0.0097,both,3.150589982
break,146,128,0.017007707,303,270,0.0054,both,3.149575299
respect,249,235,0.031225086,563,496,0.00992,both,3.147690158
channel,417,244,0.032420941,865,515,0.0103,both,3.147664149
divorc,34,27,0.003587563,74,57,0.00114,both,3.146985188
driven,28,27,0.003587563,57,57,0.00114,both,3.146985188
dozen,49,45,0.005979272,97,95,0.0019,both,3.146985188
insert,23,18,0.002391709,55,38,0.00076,both,3.146985188
britain,253,159,0.021126761,416,336,0.00672,both,3.143863179
make,825,714,0.094871113,1728,1509,0.03018,both,3.143509393
america,714,515,0.068429445,1313,1089,0.02178,both,3.141847777
interact,115,95,0.012622907,260,201,0.00402,both,3.14002668
michel,51,43,0.005713526,118,91,0.00182,both,3.139300243
tissu,52,34,0.004517672,95,72,0.00144,both,3.137272271
verifi,22,17,0.002258836,54,36,0.00072,both,3.137272271
syndic,52,42,0.005580654,107,89,0.00178,both,3.135198727
energi,351,126,0.016741961,488,267,0.00534,both,3.135198727
creation,137,117,0.015546107,274,248,0.00496,both,3.134295732
obe,30,25,0.003321818,63,53,0.00106,both,3.133790282
better,208,199,0.026441669,448,422,0.00844,both,3.132899157
rb,88,58,0.007706617,158,123,0.00246,both,3.132771163
age,769,575,0.076401807,1450,1220,0.0244,both,3.131221601
major,1158,870,0.115599256,2274,1847,0.03694,both,3.129378882
condit,228,170,0.02258836,455,361,0.00722,both,3.128581766
ga,153,80,0.010629817,281,170,0.0034,both,3.126416658
support,850,614,0.081583843,1685,1306,0.02612,both,3.123424299
kill,373,243,0.032288068,680,517,0.01034,both,3.12263714
ted,36,31,0.004119054,81,66,0.00132,both,3.120495414
revolutionari,104,77,0.010231199,214,164,0.00328,both,3.119267839
allegedli,25,23,0.003056072,56,49,0.00098,both,3.118441105
vega,66,46,0.006112145,171,98,0.00196,both,3.118441105
root,104,92,0.012224289,231,196,0.00392,both,3.118441105
beyond,109,99,0.013154398,226,211,0.00422,both,3.117155945
rel,213,182,0.024182833,415,388,0.00776,both,3.116344439
friday,58,45,0.005979272,112,96,0.00192,both,3.114204092
endur,30,30,0.003986181,73,64,0.00128,both,3.114204092
heir,36,30,0.003986181,71,64,0.00128,both,3.114204092
remak,33,30,0.003986181,68,64,0.00128,both,3.114204092
worst,35,30,0.003986181,74,64,0.00128,both,3.114204092
assum,87,82,0.010895562,186,175,0.0035,both,3.113017729
outsid,231,216,0.028700505,495,461,0.00922,both,3.112853028
sustain,65,59,0.00783949,172,126,0.00252,both,3.110908638
fri,61,22,0.0029232,61,47,0.00094,both,3.109786782
certain,177,154,0.020462397,362,329,0.00658,both,3.109786782
tripl,73,51,0.006776508,145,109,0.00218,both,3.108489957
pack,36,29,0.003853309,80,62,0.00124,both,3.107506879
kingdom,599,413,0.054876428,1188,883,0.01766,both,3.107385526
mani,1569,1177,0.156391177,3016,2517,0.05034,both,3.106697999
bestknown,37,36,0.004783417,79,77,0.00154,both,3.106115251
addit,555,515,0.068429445,1221,1102,0.02204,both,3.104784237
theori,275,169,0.022455488,575,362,0.00724,both,3.101586691
babi,76,56,0.007440872,160,120,0.0024,both,3.100363185
milk,75,28,0.003720436,76,60,0.0012,both,3.100363185
parent,170,140,0.018602179,347,300,0.006,both,3.100363185
accident,22,21,0.002790327,62,45,0.0009,both,3.100363185
fairi,24,21,0.002790327,78,45,0.0009,both,3.100363185
scheme,65,55,0.007307999,154,118,0.00236,both,3.096609719
orthodox,61,41,0.005447781,119,88,0.00176,both,3.095330128
calcul,51,34,0.004517672,97,73,0.00146,both,3.094295938
tie,108,102,0.013553016,259,219,0.00438,both,3.094295938
neck,24,20,0.002657454,55,43,0.00086,both,3.090062975
document,157,133,0.01767207,364,286,0.00572,both,3.089522755
shape,142,113,0.015014616,285,243,0.00486,both,3.08942716
refer,1137,903,0.119984055,2246,1942,0.03884,both,3.089187829
sixth,177,159,0.021126761,374,342,0.00684,both,3.088707685
fragment,36,33,0.004384799,85,71,0.00142,both,3.087886875
valid,36,33,0.004384799,80,71,0.00142,both,3.087886875
launch,293,250,0.033218177,708,538,0.01076,both,3.08719117
averag,192,157,0.020861015,433,338,0.00676,both,3.085948986
antiqu,45,39,0.005182036,93,84,0.00168,both,3.084545006
eleven,76,71,0.009433962,163,153,0.00306,both,3.082994204
singer,506,385,0.051155993,978,830,0.0166,both,3.081686299
layer,70,51,0.006776508,171,110,0.0022,both,3.080230957
ballot,29,19,0.002524581,57,41,0.00082,both,3.078757867
physicist,44,38,0.005049163,98,82,0.00164,both,3.078757867
tobacco,43,19,0.002524581,58,41,0.00082,both,3.078757867
vote,324,215,0.028567632,706,464,0.00928,both,3.078408643
web,154,81,0.010762689,256,175,0.0035,both,3.075054098
coalit,76,56,0.007440872,163,121,0.00242,both,3.074740349
extern,70,56,0.007440872,140,121,0.00242,both,3.074740349
number,1642,983,0.130613872,2830,2125,0.0425,both,3.073267574
inventor,45,37,0.00491629,85,80,0.0016,both,3.072681371
slow,47,43,0.005713526,100,93,0.00186,both,3.071788409
miami,88,55,0.007307999,171,119,0.00238,both,3.070587789
boss,35,24,0.003188945,65,52,0.00104,both,3.06629326
biblic,33,30,0.003986181,80,65,0.0013,both,3.06629326
seven,382,310,0.041190539,762,672,0.01344,both,3.064772281
neighbour,57,53,0.007042254,130,115,0.0023,both,3.061849357
countri,1458,836,0.111081584,2451,1816,0.03632,both,3.058413652
thermal,32,23,0.003056072,73,50,0.001,both,3.056072283
titan,36,23,0.003056072,74,50,0.001,both,3.056072283
wrestler,85,46,0.006112145,133,100,0.002,both,3.056072283
life,804,586,0.077863407,1566,1274,0.02548,both,3.055863691
pick,93,86,0.011427053,217,187,0.00374,both,3.055361734
militari,592,355,0.047169811,1064,772,0.01544,both,3.055039593
reflect,112,103,0.013685889,241,224,0.00448,both,3.054885919
compon,128,97,0.012888653,276,211,0.00422,both,3.054183097
injuri,98,74,0.00983258,217,161,0.00322,both,3.053596394
independ,656,471,0.062583045,1257,1025,0.0205,both,3.052831485
abc,94,68,0.009035344,206,148,0.00296,both,3.052481128
eleph,43,17,0.002258836,76,37,0.00074,both,3.052481128
victori,234,175,0.023252724,446,381,0.00762,both,3.051538568
brought,142,134,0.017804943,321,292,0.00584,both,3.048791586
ten,353,278,0.036938613,688,606,0.01212,both,3.047740331
figur,310,249,0.033085304,640,543,0.01086,both,3.046528939
fallen,24,22,0.0029232,55,48,0.00096,both,3.044999557
murphi,46,22,0.0029232,64,48,0.00096,both,3.044999557
ball,167,77,0.010231199,297,168,0.00336,both,3.044999557
knowledg,94,77,0.010231199,235,168,0.00336,both,3.044999557
user,234,108,0.014350252,389,236,0.00472,both,3.040307724
moment,47,43,0.005713526,108,94,0.00188,both,3.039109809
greater,183,171,0.022721233,423,374,0.00748,both,3.037598003
begun,32,32,0.004251927,72,70,0.0014,both,3.037090467
clinton,109,32,0.004251927,105,70,0.0014,both,3.037090467
compress,31,16,0.002125963,61,35,0.0007,both,3.037090467
smaller,139,122,0.01621047,288,267,0.00534,both,3.035668608
wild,125,90,0.011958544,265,197,0.00394,both,3.035163379
fan,122,100,0.013287271,263,219,0.00438,both,3.033623469
chemic,246,115,0.015280361,321,252,0.00504,both,3.031817741
rapid,70,67,0.008902471,168,147,0.00294,both,3.028051508
genr,152,118,0.01567898,305,259,0.00518,both,3.026830027
repeat,47,46,0.006112145,105,101,0.00202,both,3.025814141
six,476,426,0.056603774,1037,936,0.01872,both,3.023705854
materi,274,202,0.026840287,595,444,0.00888,both,3.022554843
fantasi,93,75,0.009965453,225,165,0.0033,both,3.019834271
clan,64,40,0.005314908,131,88,0.00176,both,3.019834271
phone,67,40,0.005314908,146,88,0.00176,both,3.019834271
relief,43,35,0.004650545,87,77,0.00154,both,3.019834271
aaron,34,25,0.003321818,67,55,0.0011,both,3.019834271
seek,98,95,0.012622907,232,209,0.00418,both,3.019834271
bean,23,15,0.001993091,58,33,0.00066,both,3.019834271
cancel,62,59,0.00783949,145,130,0.0026,both,3.015188373
scientist,137,113,0.015014616,279,249,0.00498,both,3.014983132
roll,145,98,0.013021525,278,216,0.00432,both,3.014241986
appli,192,161,0.021392506,422,355,0.0071,both,3.013029011
review,257,208,0.027637523,596,459,0.00918,both,3.010623448
kevin,71,58,0.007706617,159,128,0.00256,both,3.010397289
occupi,145,116,0.015413234,283,256,0.00512,both,3.010397289
leadership,136,111,0.014748871,292,245,0.0049,both,3.009973588
appear,1199,853,0.11334042,2405,1883,0.03766,both,3.009570363
pure,61,48,0.00637789,122,106,0.00212,both,3.00843867
tv,350,254,0.033749668,801,561,0.01122,both,3.007991784
dinosaur,70,19,0.002524581,55,42,0.00084,both,3.005454108
narr,48,38,0.005049163,106,84,0.00168,both,3.005454108
sharehold,22,19,0.002524581,60,42,0.00084,both,3.005454108
tyler,22,19,0.002524581,61,42,0.00084,both,3.005454108
appeal,93,71,0.009433962,203,157,0.00314,both,3.004446581
medic,325,194,0.025777305,664,429,0.00858,both,3.004347942
alex,62,52,0.006909381,137,115,0.0023,both,3.004078614
jurisdict,74,52,0.006909381,149,115,0.0023,both,3.004078614
literatur,185,151,0.020063779,437,334,0.00668,both,3.003559716
mar,98,47,0.006245017,158,104,0.00208,both,3.002412151
cake,37,14,0.001860218,57,31,0.00062,both,3.00035147
greek,597,274,0.036407122,891,607,0.01214,both,2.998939207
basic,112,102,0.013553016,257,226,0.00452,both,2.998454914
leader,509,322,0.042785012,921,714,0.01428,both,2.996149297
timothi,24,23,0.003056072,56,51,0.00102,both,2.996149297
captur,185,138,0.018336434,383,306,0.00612,both,2.996149297
reform,189,141,0.018735052,422,313,0.00626,both,2.99281978
brief,62,59,0.00783949,139,131,0.00262,both,2.992171667
pattern,86,68,0.009035344,198,151,0.00302,both,2.991835808
top,931,531,0.070555408,1519,1180,0.0236,both,2.989635929
shakespear,44,18,0.002391709,69,40,0.0008,both,2.989635929
sinc,1577,1234,0.163964922,3165,2743,0.05486,both,2.988788217
tim,59,49,0.006510763,124,109,0.00218,both,2.98658839
insect,49,40,0.005314908,118,89,0.00178,both,2.985903549
continu,607,526,0.069891044,1323,1171,0.02342,both,2.984246131
receiv,887,698,0.09274515,1864,1554,0.03108,both,2.98407819
peopl,1496,931,0.123704491,2637,2073,0.04146,both,2.983706973
follow,1542,1184,0.157321286,3037,2637,0.05274,both,2.982959541
fresh,57,44,0.005846399,105,98,0.00196,both,2.982856709
veget,53,44,0.005846399,114,98,0.00196,both,2.982856709
juri,47,35,0.004650545,97,78,0.00156,both,2.981118448
ring,129,87,0.011559926,306,194,0.00388,both,2.979362266
temper,31,26,0.00345469,66,58,0.00116,both,2.978181385
remov,169,138,0.018336434,334,308,0.00616,both,2.976693782
statu,235,193,0.025644433,516,431,0.00862,both,2.974992185
stage,372,311,0.041323412,867,695,0.0139,both,2.97290735
yugoslav,43,17,0.002258836,58,38,0.00076,both,2.972152678
biolog,142,85,0.01129418,256,190,0.0038,both,2.972152678
bond,91,55,0.007307999,177,123,0.00246,both,2.970731275
endang,48,38,0.005049163,99,85,0.0017,both,2.970095825
feminist,33,21,0.002790327,69,47,0.00094,both,2.968432837
focus,188,180,0.023917087,437,403,0.00806,both,2.967380574
suprem,158,100,0.013287271,314,224,0.00448,both,2.96590866
conduct,176,154,0.020462397,409,345,0.0069,both,2.965564786
mumbai,42,29,0.003853309,102,65,0.0013,both,2.964083485
lowest,37,33,0.004384799,86,74,0.00148,both,2.962702272
five,647,530,0.070422535,1365,1189,0.02378,both,2.961418638
lineup,63,49,0.006510763,125,110,0.0022,both,2.959437586
fiction,327,261,0.034679777,770,586,0.01172,both,2.959025322
proper,64,53,0.007042254,139,119,0.00238,both,2.958930051
minor,264,212,0.028169014,628,476,0.00952,both,2.958930051
item,82,61,0.008105235,178,137,0.00274,both,2.958115031
collabor,196,170,0.02258836,463,382,0.00764,both,2.956591669
sun,192,109,0.014483125,375,245,0.0049,both,2.95573983
crusad,42,24,0.003188945,84,54,0.00108,both,2.952726843
cuisin,32,24,0.003188945,82,54,0.00108,both,2.952726843
spend,62,56,0.007440872,137,126,0.00252,both,2.952726843
tag,44,28,0.003720436,100,63,0.00126,both,2.952726843
tape,39,32,0.004251927,111,72,0.00144,both,2.952726843
unless,32,32,0.004251927,74,72,0.00144,both,2.952726843
firearm,30,16,0.002125963,56,36,0.00072,both,2.952726843
eighth,90,84,0.011161307,201,189,0.00378,both,2.952726843
sometim,407,362,0.04809992,891,815,0.0163,both,2.950915354
advertis,79,67,0.008902471,192,151,0.00302,both,2.947838223
alphabet,76,43,0.005713526,127,97,0.00194,both,2.945116723
consolid,38,35,0.004650545,88,79,0.00158,both,2.943382771
recoveri,33,31,0.004119054,85,70,0.0014,both,2.94218139
boy,259,182,0.024182833,509,411,0.00822,both,2.941950468
geograph,95,89,0.011825671,233,201,0.00402,both,2.941709206
combin,260,243,0.032288068,611,549,0.01098,both,2.940625504
case,401,281,0.037337231,832,635,0.0127,both,2.939939444
benefit,87,73,0.009699708,204,165,0.0033,both,2.939305358
essenti,81,73,0.009699708,175,165,0.0033,both,2.939305358
bryan,33,23,0.003056072,78,52,0.00104,both,2.938531041
dissolut,25,23,0.003056072,55,52,0.00104,both,2.938531041
terrain,23,23,0.003056072,60,52,0.00104,both,2.938531041
upris,25,23,0.003056072,57,52,0.00104,both,2.938531041
faith,74,65,0.008636726,188,147,0.00294,both,2.93766191
nine,221,195,0.025910178,486,441,0.00882,both,2.93766191
grew,111,106,0.014084507,249,240,0.0048,both,2.9342723
magazin,346,271,0.036008504,937,614,0.01228,both,2.932288587
text,164,109,0.014483125,350,247,0.00494,both,2.931806714
cage,21,15,0.001993091,61,34,0.00068,both,2.931015616
resist,102,71,0.009433962,193,161,0.00322,both,2.929801945
accompani,88,82,0.010895562,195,186,0.00372,both,2.92891453
oblig,29,26,0.00345469,69,59,0.00118,both,2.927703734
abbrevi,87,78,0.010364071,201,177,0.00354,both,2.927703734
variant,67,63,0.008370981,157,143,0.00286,both,2.926916294
award,2117,821,0.109088493,3352,1865,0.0373,both,2.924624483
begin,361,316,0.041987776,763,718,0.01436,both,2.923939813
riot,28,22,0.0029232,60,50,0.001,both,2.923199575
pop,226,161,0.021392506,460,366,0.00732,both,2.922473494
law,612,384,0.05102312,1560,873,0.01746,both,2.92228636
mix,203,178,0.023651342,477,405,0.0081,both,2.919918767
sever,1283,1039,0.138054744,2693,2366,0.04732,both,2.917471335
dust,35,18,0.002391709,64,41,0.00082,both,2.916717979
roughli,79,75,0.009965453,181,171,0.00342,both,2.913875174
amazon,31,25,0.003321818,66,57,0.00114,both,2.913875174
compar,165,150,0.019930906,369,342,0.00684,both,2.913875174
broke,87,82,0.010895562,207,187,0.00374,both,2.913251885
expos,43,39,0.005182036,99,89,0.00178,both,2.911255961
intens,57,56,0.007440872,142,128,0.00256,both,2.906590486
facilit,45,42,0.005580654,100,96,0.00192,both,2.906590486
listen,56,49,0.006510763,138,112,0.00224,both,2.906590486
reunit,25,21,0.002790327,56,48,0.00096,both,2.906590486
fast,87,59,0.00783949,154,135,0.0027,both,2.903514729
charg,230,156,0.020728142,457,357,0.00714,both,2.903101182
permit,44,38,0.005049163,94,87,0.00174,both,2.90181776
strengthen,34,31,0.004119054,75,71,0.00142,both,2.900742216
week,475,261,0.034679777,740,598,0.01196,both,2.899646887
mongolia,51,24,0.003188945,75,55,0.0011,both,2.899040901
twoyear,24,24,0.003188945,59,55,0.0011,both,2.899040901
except,190,168,0.022322615,407,385,0.0077,both,2.899040901
perspect,46,41,0.005447781,101,94,0.00188,both,2.897755865
straight,57,51,0.006776508,135,117,0.00234,both,2.895943635
deriv,222,196,0.026043051,523,450,0.009,both,2.893672306
tallest,37,27,0.003587563,87,62,0.00124,both,2.89319606
talk,121,91,0.012091416,266,209,0.00418,both,2.892683355
mean,564,419,0.055673665,1202,963,0.01926,both,2.890636793
brand,243,143,0.019000797,453,329,0.00658,both,2.887659154
vocal,175,133,0.01767207,411,306,0.00612,both,2.887593163
unlik,107,99,0.013154398,237,228,0.00456,both,2.884736423
felt,34,33,0.004384799,90,76,0.00152,both,2.884736423
secret,108,89,0.011825671,259,205,0.0041,both,2.884310002
terrestri,42,36,0.004783417,88,83,0.00166,both,2.881576799
accomplish,52,49,0.006510763,122,113,0.00226,both,2.880868447
account,187,166,0.02205687,488,383,0.00766,both,2.879486882
real,226,166,0.02205687,488,383,0.00766,both,2.879486882
vital,27,26,0.00345469,69,60,0.0012,both,2.878908672
prime,262,133,0.01767207,412,307,0.00614,both,2.878187322
plane,58,42,0.005580654,136,97,0.00194,both,2.876625636
dream,111,71,0.009433962,205,164,0.00328,both,2.876208007
troop,99,77,0.010231199,235,178,0.00356,both,2.873932166
contrast,67,64,0.008503853,157,148,0.00296,both,2.872923415
environment,99,80,0.010629817,243,185,0.0037,both,2.872923415
cash,41,35,0.004650545,106,81,0.00162,both,2.870706653
perman,117,108,0.014350252,280,250,0.005,both,2.870050492
poison,21,19,0.002524581,72,44,0.00088,both,2.868842558
singh,68,38,0.005049163,148,88,0.00176,both,2.868842558
precis,45,41,0.005447781,102,95,0.0019,both,2.867253171
boom,29,22,0.0029232,63,51,0.00102,both,2.865881936
certif,56,44,0.005846399,141,102,0.00204,both,2.865881936
presentday,48,44,0.005846399,113,102,0.00204,both,2.865881936
volcan,35,22,0.0029232,78,51,0.00102,both,2.865881936
episod,423,226,0.030029232,1002,524,0.01048,both,2.865384732
fourth,370,316,0.041987776,784,733,0.01466,both,2.864104755
kiss,30,25,0.003321818,71,58,0.00116,both,2.863635947
quarterback,91,25,0.003321818,78,58,0.00116,both,2.863635947
seventh,115,106,0.014084507,257,246,0.00492,both,2.862704683
crop,46,31,0.004119054,100,72,0.00144,both,2.860454129
investor,38,31,0.004119054,98,72,0.00144,both,2.860454129
socialist,105,68,0.009035344,219,158,0.00316,both,2.85928612
subspeci,49,34,0.004517672,97,79,0.00158,both,2.85928612
european,685,410,0.05447781,1345,953,0.01906,both,2.858227191
unabl,44,43,0.005713526,100,100,0.002,both,2.856763221
twelv,89,82,0.010895562,199,191,0.00382,both,2.852241375
eye,141,88,0.011692798,250,205,0.0041,both,2.851902024
goal,312,190,0.025245815,625,443,0.00886,both,2.84941473
dish,56,30,0.003986181,102,70,0.0014,both,2.847272313
wealthi,30,30,0.003986181,77,70,0.0014,both,2.847272313
sheep,48,21,0.002790327,85,49,0.00098,both,2.847272313
arm,241,192,0.02551156,637,448,0.00896,both,2.847272313
doll,33,15,0.001993091,71,35,0.0007,both,2.847272313
differ,711,538,0.071485517,1531,1256,0.02512,both,2.845761022
contact,77,65,0.008636726,217,152,0.00304,both,2.841028295
posit,549,460,0.061121446,1304,1076,0.02152,both,2.840215876
yearold,55,53,0.007042254,146,124,0.00248,both,2.839618355
fix,60,47,0.006245017,138,110,0.0022,both,2.838644215
instanc,51,47,0.006245017,122,110,0.0022,both,2.838644215
kim,85,44,0.005846399,187,103,0.00206,both,2.83805784
appl,131,38,0.005049163,145,89,0.00178,both,2.836608372
trade,372,254,0.033749668,806,595,0.0119,both,2.836106539
key,166,143,0.019000797,425,335,0.0067,both,2.835939886
spirit,80,67,0.008902471,202,157,0.00314,both,2.835181985
owe,32,32,0.004251927,76,75,0.0015,both,2.83461777
phil,41,32,0.004251927,84,75,0.0015,both,2.83461777
recov,55,52,0.006909381,129,122,0.00244,both,2.831713448
trap,33,26,0.00345469,69,61,0.00122,both,2.831713448
distribut,249,208,0.027637523,619,488,0.00976,both,2.831713448
cook,112,69,0.009168217,245,162,0.00324,both,2.829696558
kelli,90,46,0.006112145,134,108,0.00216,both,2.829696558
consequ,68,63,0.008370981,154,148,0.00296,both,2.828033987
late,548,472,0.062715918,1248,1109,0.02218,both,2.827588735
contract,187,148,0.019665161,475,348,0.00696,both,2.825454134
prolif,40,37,0.00491629,89,87,0.00174,both,2.825454134
offici,614,503,0.066834972,1350,1183,0.02366,both,2.824808626
surfac,208,122,0.01621047,440,287,0.00574,both,2.824123758
draft,203,139,0.018469306,544,327,0.00654,both,2.824052967
celtic,68,31,0.004119054,108,73,0.00146,both,2.821269826
mode,41,31,0.004119054,124,73,0.00146,both,2.821269826
enjoy,83,76,0.010098326,194,179,0.00358,both,2.820761398
miner,99,59,0.00783949,229,139,0.00278,both,2.819960348
distinguish,123,117,0.015546107,302,276,0.00552,both,2.816323701
els,25,25,0.003321818,61,59,0.00118,both,2.815099745
itv,34,25,0.003321818,79,59,0.00118,both,2.815099745
