,page_id,page_title_x
0,1273,Augustus
1,2905,Artemis
2,5134,Chess
3,8303,Down_syndrome
4,9223,Economics
5,13192,Hacking
6,13692,History_of_the_Internet
7,14187,Henry_VIII_of_England
8,14975,Ivy_League
9,16707,Kurt_Cobain
10,16779,Ku_Klux_Klan
11,17740,Louis_Pasteur
12,19356,Mental_disorder
13,19527,Mao_Zedong
14,19603,Manhattan_Project
15,22939,Physics
16,22954,Plato
17,27717,Salma_Hayek
18,28480,Spice_Girls
19,37764,Hippopotamus
20,42012,Macedonia_(ancient_kingdom)
21,42978,Jack_London
22,49105,Vacuum_cleaner
23,99372,Robin_(comics)
24,147687,Stevie_Wonder
25,166202,White_people
26,173652,Hemorrhoid
27,191992,Arthur_Griffith
28,228638,Ray_Romano
29,239297,Florida_State_University
30,257195,Bill_Gothard
31,268009,John_Goodman
32,295976,Irene_Cara
33,301574,The_Little_Mermaid_(1989_film)
34,363531,Kanpur
35,443498,Blond
36,456252,David_Duke
37,666901,Rind_et_al._controversy
38,763877,Jim_Jordan_(political_consultant)
39,817924,Ethnic_minorities_in_Iran
40,867945,2002_MTV_Movie_Awards
41,985535,World_Tag_Team_Championship_(WWE)
42,1345798,T_in_the_Park
43,1580878,Eliseo_Soriano
44,1630035,Dulo_clan
45,1684317,Creeper
46,1747821,Jill_Stein
47,1921242,Khilji_dynasty
48,2147701,Gersh_Kuntzman
49,2225094,Talim
50,2236472,Transformers_(film)
51,2589714,Milky_Way
52,2730733,Willie_Mason
53,2731583,Adolf_Hitler
54,2848733,Ashwood_University
55,2914318,Damaged_Justice
56,3312138,True_Crime_(1999_film)
57,3953427,FIFA_100
58,4930424,Scientology_and_hypnosis
59,5005429,Harold_Covington
60,5267304,Blobfish
61,5615349,Nudity_in_music_videos
62,5820786,John_Zamberlin
63,6923903,List_of_tallest_buildings_in_Pakistan
64,7819615,Luis_Suárez
65,8592058,List_of_Rajputs
66,9886374,List_of_Epiphone_players
67,10292532,ICarly
68,10468424,Blah
69,11805756,Greg_Plitt
70,11890822,Perry_Hall_High_School
71,12523803,List_of_reggaeton_musicians
72,13094931,Bill_Prady
73,16160954,James_Harden
74,17157886,Star_Trek
75,17872500,Arab's_Gulf
76,18600876,Bosniaks
77,20656228,Maize
78,21877619,Park_Yoo-chun
79,22361242,The_Real_Housewives_of_New_Jersey
80,23233483,Aristo_Sham
81,26563252,Prostitution_law
82,26600297,Stephen_Cortright
83,28100063,Speak_Now
84,28150733,Black_Veil_Brides
85,28199849,Mukta_Barve
86,35987337,Lloyd_Irvin
87,39185724,Bigg_Boss_7
88,39689031,Planes:_Fire_&_Rescue
89,40525542,Ever_After_High
90,41985997,Mixels
91,42198936,Shawn_Mendes
92,43269344,Cat_Creek_Oil_Field
93,45478592,Ukrah
