,page_id,page_title,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len
0,7960121,Wyoming_Highway_22,0,0,0.300014151546,20160713030710,20160718171717,718541470,4002
1,32114346,Apolipoprotein_O,0,0,0.300018039156,20160716093923,20160716032735,721121830,2208
2,21391,Nigerian_Armed_Forces,0,0,0.30001853993164196,20160716103314,20160716054348,727643438,12194
3,1818940,Eastbourne_(UK_Parliament_constituency),0,0,0.300022476249,20160701151739,20160718052344,722867072,44494
4,19167764,Undergarment,0,0,0.300038738919,20160717030705,20160716065059,726831680,49221
5,231683,Norwegian_University_of_Science_and_Technology,0,0,0.30004227468747896,20160718121504,20160716210414,728774455,24585
6,1939585,Drowning_Mona,0,0,0.30005886208,20160718074808,20160718074808,730318784,7484
7,1066804,Arena_(Star_Trek:_The_Original_Series),0,0,0.300061895652,20160717114233,20160717114543,730003864,10983
8,27874760,2010_FIFA_World_Cup_event_effects,0,0,0.300072385537,20160704182417,20160704182418,728332594,36071
9,20067481,Harike_Wetland,0,0,0.300073236422,20160717085447,20160717082734,730180858,16815
10,50258308,20va_Shatabdam,0,0,0.300076934242,20160714014233,20160713094041,728409654,2750
11,3090014,Fouls_and_misconduct_(association_football),0,0,0.30007787181,20160701151739,20160718072715,727326274,24595
12,46935557,Angels_and_Alcohol,0,0,0.300084661352,20160715032530,20160718015644,729867234,8051
13,8218003,West_Ham_Stadium,0,0,0.300111238006,20160630145920,20160718181057,727676530,7980
14,44420206,The_Veronicas_(album),0,0,0.300122119884,20160714201417,20160718012818,726423492,44828
15,5858725,Columbia_Museum_of_Art,0,0,0.300131333837,20160718081642,20160716103054,664800995,9232
16,538455,Dawn_of_the_Dead_(2004_film),0,0,0.30013622185228,20160712235751,20160717111002,728240836,25076
17,47143780,Comparison_of_programming_languages_(functional_programming),0,0,0.300142208413,20160708235857,20160708222231,715078124,1778
18,1498593,Alona_Bondarenko,0,0,0.300150503732,20160717134431,20160716115239,715115655,37971
19,35482312,Charles_Tran,0,0,0.300159858911,20160718104716,20160717045046,721515142,3332
20,34954,1847,0,0,0.30018321638943896,20160717002621,20160716231303,727987789,25830
21,4207082,"Indian_general_election,_2004_(Andhra_Pradesh)",0,0,0.300217769397,20160709204306,20160718100559,615738667,84906
22,11059974,Jozef_Raskin,0,0,0.30021791107,20160717112822,20160716123327,718227166,12776
23,15290967,2011_Copa_América,0,0,0.30023020314,20160715191406,20160717064526,727635104,46161
24,14525943,August:_Osage_County,0,0,0.300249524696,20160715122103,20160713034903,725520466,35502
25,10877231,Konstantinos_Georgakopoulos,0,0,0.300255699522,20160713144733,20160613200345,710973509,2169
26,560679,List_of_planet_killers,0,0,0.30025868644,20160717071335,20160716075123,729681305,73781
27,45312708,2015_UCI_Asia_Tour,0,0,0.300280062619,20160712173706,20160712174249,701447228,13581
28,676309,Petrov_Affair,0,0,0.300280990219,20160717092056,20160716084059,727913811,15621
29,368388,Loughton,0,0,0.300321953977,20160717090913,20160718203108,715285656,54848
30,5001732,Vodafone_Events_Centre,0,0,0.300330533059,20160709072738,20160718095641,729016122,6201
31,43144358,Miagao_Church,0,0,0.300347138328,20160717104451,20160717104919,699614204,12368
32,29220140,2011_Lamar_Hunt_U.S._Open_Cup,0,0,0.300347259284,20160718171506,20160718215122,703374478,37482
33,2082079,Dope_(band),0,0,0.300347510508,20160718040947,20160717183616,730242524,23574
34,177782,Tuen_Mun_District,0,0,0.30035017831283595,20160718192047,20160718192049,730393936,30509
35,3922553,Comics_Guaranty,0,0,0.300359089906,20160716085801,20160716053532,729664945,12830
36,17866500,Montgomery_Gentry_discography,0,0,0.300363590381,20160713095818,20160713100742,721810668,18670
37,8352045,Catalan_football_championship,0,0,0.300364125608,20160718082610,20160716214811,711486762,11608
38,76436,Fort_Knox,0,0,0.3003642319705,20160718011357,20160718011358,730285427,21017
39,9611167,Liliyana_Natsir,0,0,0.300372241309,20160712055935,20160712061418,729285448,75031
40,16477288,2122_Pyatiletka,0,0,0.300395776218,20160704021332,20160717192534,715457174,2751
41,855178,Lauren_Hutton,0,0,0.300399546651,20160713220601,20160717220123,729689961,25351
42,20787014,Jussi_Halla-aho,0,0,0.300402989553,20160718102619,20160718102621,730334051,24508
43,36797817,Bosnia_and_Herzegovina_at_the_2012_Summer_Paralympics,0,0,0.300404163422,20160702174348,20160702182254,546393777,2480
44,157609,The_Dick_Van_Dyke_Show,0,0,0.30040542064272396,20160718081918,20160717123513,730201822,27960
45,3201719,Russian–American_Telegraph,0,0,0.300406994855,20160704191912,20160718073100,723317921,21446
46,39035559,Shirley_High_School_(Arkansas),0,0,0.300417503306,20160713155727,20160718125636,685453553,10857
47,15424805,Thomson-East_Coast_MRT_Line,0,0,0.300417730327,20160717065332,20160716211036,728442019,18976
48,24587813,Big_West_Conference_Men's_Basketball_Tournament,0,0,0.300425403155,20160711184319,20160711181608,718840201,15224
49,43898135,Doctor_Puppet,0,0,0.300444505107,20160717093137,20160716084059,711631688,23336
50,46922727,Tennis_at_the_2015_Southeast_Asian_Games_–_Men's_Singles,0,0,0.300446214056,20160718112742,20160718105203,671819565,7644
51,4868915,Mediterranea_University_of_Reggio_Calabria,0,0,0.300447419538,20160704191912,20160718092955,718262611,46791
52,98676,Andrei_Chikatilo,0,0,0.300455837790347,20160718004756,20160718004757,730283056,96047
53,130557,José_Luis_Rodríguez_(singer),0,0,0.300481972564461,20160718032359,20160716070318,727741355,10338
54,13902270,Princess_Sarah_(TV_series),0,0,0.300489227525,20160716133047,20160716125313,727171523,8862
55,8057562,Amateur_Motorcycling_Association,0,0,0.300489839083,20160718073329,20160717101046,647090600,4081
56,12329985,USS_Jubilant_(AM-255),0,0,0.300506349161,20160709035041,20160709035043,728999370,6622
57,23421812,Álvaro_Silva_(footballer),0,0,0.300507714359,20160716202550,20160714211145,729830876,12248
58,14831234,"Holy_Apostles_Episcopal_Church_(Satellite_Beach,_Florida)",0,0,0.30050871381,20160704173712,20160718025948,728326691,6673
59,176296,White_Mountains_(New_Hampshire),0,0,0.300511879195005,20160718131404,20160716134828,724413353,12253
60,12913044,Riccia_atlantica,0,0,0.300513754676,20160714193442,20160713033803,544930440,964
61,2571590,House_painter_and_decorator,0,0,0.300515863722,20160704191912,20160718065806,724666504,19272
62,17654499,The_Reenactment,0,0,0.300518680305,20160717032033,20160716090525,599751511,23602
63,2784893,Thomas_Charles_Edwards,0,0,0.300520147708,20160717222955,20160716164614,729715275,5369
64,8424181,Crossett_High_School,0,0,0.300523697339,20160712040731,20160718194307,703785443,7815
65,22187374,Persidia,0,0,0.300524737131,20160718054848,20160713043230,545613054,719
66,49360329,Khǒr_Royal_Cup,0,0,0.300527499728,20160709000157,20160718033347,724783732,9388
67,2473210,Sterile_neutrino,0,0,0.300529868471,20160717172212,20160717160139,727851897,18828
68,28065366,The_Illusion_of_Safety_(The_Hoosiers_album),0,0,0.300539385184,20160710181330,20160717131444,702648995,8224
69,5672123,Hüttenberg,0,0,0.300560691517,20160718060254,20160717090427,667975037,4949
70,30859853,Maksim_Gelman_stabbing_spree,0,0,0.30056507721,20160717050621,20160716072532,725903581,15525
71,950216,Grisha-class_corvette,0,0,0.300580258156,20160704191912,20160718003352,714044687,6012
72,81271,Soissons,0,0,0.300583536085285,20160717085549,20160716102337,724947061,8880
73,32492697,Robert_Alexander_Innes,0,0,0.300590449465,20160711073550,20160710092225,720294303,3069
74,9231693,"Marmoutier_Abbey,_Alsace",0,0,0.300607950299,20160711223748,20160711222945,668381727,5491
75,38986009,"National_Register_of_Historic_Places_listings_in_Page_County,_Iowa",0,0,0.300622743914,20160718001811,20160717213520,719152440,4345
76,47307562,Archbishopric_of_Moravia,0,0,0.300624881817,20160705100358,20160717120411,715732170,27693
77,43700772,Lilla_Skuggan,0,0,0.300632797107,20160715185828,20160713231528,679118254,9573
78,1544297,Mark_Calcavecchia,0,0,0.30063309018,20160717180605,20160717174702,729944754,21918
79,24631399,Francis_Hare_(bishop),0,0,0.30063532608,20160703064912,20160624033138,717375573,7928
